title,company,location,created,category,salary_min,salary_max,contract_type,description,source
Ingénieur/Ingénieure Data Scientist (H/F),UNIVERSITE COTE D AZUR,06 - Valbonne,2025-06-11T15:10:28.084Z,M1811,14.0,14.0,CDD - 12 Mois,"Nous recherchons notre futur/future Ingénieur/Ingénieure Data Scientist !
Vous réaliserez des développements logiciels dans le cadre de projets de recherche, d'innovation et de diffusion de la culture scientifique sollicitant des technologies et résultats scientifiques issus des recherches menées dans le cadre du 3IA Côte d'Azur. Vous évoluerez au sein d'une équipe de data scientists dans un contexte où vous pourrez faire constamment évoluer vos compétences. Vous devrez aussi être capable d'animer des sessions de formation sur la pratique de l'IA à destination d'ingénieurs d'entreprise, de chercheurs ou d'étudiants, à hauteur de 64h ETD par an selon les besoins de l'Institut.

Rejoignez-nous au sein d'Université Côte d'Azur, reconnue depuis 2016 pour son excellence scientifique et pédagogique, pour créer ensemble le modèle de l'université du 21ème siècle responsable et innovante. 

Vos missions :

Une part essentielle des activités de développement s'effectuera dans le cadre de collaborations entre l'Institut et des acteurs sociaux-économiques (entreprises, startups, institutions publiques, collectivités locales). Vous interviendrez sur le co-développement de logiciels prototypes intégrant les briques technologiques proposées par les chercheurs dans le cadre d'un contrat de recherche. Ces développements ont pour objectifs de valider une approche scientifique sur un ou plusieurs cas d'usage soumis par une entreprise. Les développements peuvent s'inscrire dans un accord de transfert de technologies avec l'entreprise. Vous pourrez être sollicité/e aussi pour des développements logiciels de technologies développées par les laboratoires et équipes de recherche des établissements de l'Institut. Vous serez sollicité/e pour capitaliser le savoir-faire de l'équipe en contenu de formation et d'en délivrer le contenu à des publics de niveau ingénieurs, chercheurs, ou étudiant d'école d'ingénieurs ou de Master.


Ce poste est fait pour vous si :

Vous maîtrisez : 
La pratique des environnements de machine learning (e.g., PyTorch, TensorFlow, Pandas, Numpy) ; 
Les langages de programmation : Python, R, C ou C++ ; 
L'anglais technique et scientifique à l'oral et à l'écrit.

Vous êtes en capacité : 
De développer des interfaces web client-serveur ;
De faire preuve d'autonomie, d'adaptabilité, de rigueur et d'organisation. 

Vous possédez : 
De bonnes qualités rédactionnelles ; 
Une formation et/ou expérience dans un ou plusieurs des domaines suivants : Data science/Statistiques/Développement logiciel, Intelligence artificielle/Machine learning/Deep learning ;
Une expérience en enseignement ou formation ; 
Une expérience en développement sous Linux ou MacOs.

Rémunération et avantages sociaux :

Rémunération contractuels (hors variables) : A partir de 1 858,14 € Nets (avant PAS), selon profil
Congés : 45 jours de congés annuels
Télétravail : Jusqu'à 2 jours/semaine
Prise en charge partielle des frais de transport domicile-travail
Prise en charge partielle des frais de mutuelle
Accès aux restaurants et cafétérias du CROUS avec tarif privilégié
Billetterie loisirs et sorties à tarifs préférentiels",API Pôle Emploi
Data Scientist (H/F),SEGMENT ELITE,75 - PARIS 09,2025-06-09T15:04:22.629Z,M1405,,,CDI,"Nous recrutons un Data Scientist pour un projet à fort enjeu analytique au sein d'un client grand compte. Poste basé en France. Démarrage ASAP.

Expérience requise : minimum 3 ans.

Compétences requises :
Maîtrise de Python, bibliothèques pandas, scikit-learn, TensorFlow ou PyTorch
Conception et déploiement de modèles prédictifs
Analyse de données, visualisation, data cleaning
Notions de MLOps, APIs, cloud (GCP, AWS ou Azure)

Environnement technique : Python, Jupyter, SQL, Docker, MLFlow, Power BI ou Tableau

Rejoignez-nous pour exploiter tout le potentiel de la donnée dans un environnement stimulant.",API Pôle Emploi
Data scientist (H/F),RECTORAT,31 - TOULOUSE,2025-06-04T14:38:53.548Z,M1405,45000.0,55000.0,CDD - 36 Mois,"***** CANDIDATURE AVEC UN CV ET UNE LETTRE DE MOTIVATION *****

Vous êtes passionné(e) par les données, les technologies d'intelligence artificielle et d'IA générative ? Vous avez le sens du service public et souhaitez contribuer à la modernisation de l'éducation nationale ? Rejoignez la Direction du Système d'Information de l'Innovation (DSI²) en tant que Data Scientist(e).

Au sein de l'incubateur d'IA souveraine de la DSI², vous jouerez un rôle central dans la conception et le déploiement de solutions d'intelligence artificielle destinées à améliorer l'efficacité et la qualité des services administratifs de l'éducation nationale.

Intégré(e) à une équipe agile et en lien étroit avec les directions métiers ainsi qu'avec les autres départements de la DSI², vous participerez activement à la transformation de données brutes en démonstrateurs techniques et en solutions technologiques avancées.

Rejoignez un service public engagé pour tous les élèves, au service de la formation et de l'éducation des citoyens de demain.

Vos missions:
- Collecter, nettoyer et analyser des ensembles de données complexes pour alimenter les démonstrateurs.
- Choisir et évaluer des modèles de machine learning et de deep learning en utilisant des outils et des frameworks tels que Python, Scikit-learn, TensorFlow, PyTorch, etc.
- Développer des prototypes de solutions IA et les tester dans des environnements réels et souverains.
- Travailler en étroite collaboration avec les équipes de data engineering, de développement logiciel locales et nationales pour intégrer les modèles dans des produits finis. 
- Documenter les processus, les modèles et les résultats de manière claire et concise pour assurer leur reproductibilité et leur compréhension par l'équipe. 
- Rester à l'affût des dernières avancées en IA et machine learning et proposer des innovations pour améliorer les projets.
- Présenter les résultats et recommandations aux parties prenantes, aux décideurs et aux équipes internes.
- Être à l'écoute des usagers et animateur(trice) d'ateliers pour recueillir les besoins métiers et les traduire en démonstrateurs techniques.
- Assurer la collecte, le stockage et la gestion des données, ainsi que la réalisation des démonstrateurs dans un environnement cloud souverain.
- Contribuer à la mise à l'échelle des outils IA en collaboration avec les incubateurs régionaux et nationaux.

Profil recherché:

Vous êtes titulaire d'un Bac+5 (école d'ingénieur ou Master) en science des données, informatique ou domaine connexe, avec une première expérience dans le domaine de la data science ou de l'ingénierie des données.

Compétences techniques clés:
- Maîtrise de Python et des bibliothèques de data science (Pandas, NumPy, Scikit-learn)
- Connaissance des frameworks de deep learning (TensorFlow, PyTorch)
- Bonne maîtrise des outils de visualisation (Matplotlib, Seaborn, Plotly)
- Expérience avec les bases de données SQL, NoSQL et vectorielles
- Connaissance en traitement du langage naturel (NLP) et usage de modèles de langage avancés (ex : Llama, GPT, Albert)
- Pratique des environnements de développement (Jupyter, Streamlit, FastAPI, etc.)
- Maîtrise des outils de versioning (Git) et des environnements cloud souverains

Conditions: 
- Type de contrat : CDD de 3 ans, renouvelable ou évolutif vers un CDI
- Temps de travail : Temps complet - 39h10 par semaine - 52 jours de congés - Télétravail possible jusqu'à 2 jours par semaine
- Lieu de travail : 31400 Toulouse
- Rémunération : de 45 000 € à 55 000 € brut annuel, selon expérience
- Date de prise de poste : dès que possible",API Pôle Emploi
Data Scientist F/H (H/F),NOMADIA GROUP.,75 - PARIS 14,2025-06-03T16:50:05.519Z,M1405,,,CDI,"Nomadia recherche un(e) Data Scientist.
Rattaché(e) au Head of Data, vous aurez comme missions principales de:  
Développer, déployer et maintenir des modèles d'analyse avancée et d'apprentissage automatique à partir des données de Nomadia, pour répondre aux besoins business identifiés par l'AI Product Manager et contribuer à l'innovation produit par la Data Science.
Le candidat devra se tenir à disposition pour toute autre mission complémentaire en fonction des besoins du pôle Data

Vos responsabilités clés:
1. L'analyse et l'exploitation des données:
- Analyser les données du Data Lake pour en extraire des insights pertinents
- Développer des visualisations et dashboards pour communiquer les résultats
- Réaliser des études pour répondre à des questions business spécifiques
2. Le développement de modèles: 
- Concevoir et développer des modèles prédictifs adaptés aux besoins business
- Implémenter des algorithmes de machine learning et deep learning
- Réaliser des Proof of Concepts pour valider la faisabilité des Use Cases identifiés
3- l'industrialisation et le déploiement
- Collaborer avec le Data Engineer et les équipes Architecture pour déployer les modèles en production
- Assurer le suivi et la maintenance des modèles en production
- Mettre en place des systèmes de monitoring des performances des modèles
- Améliorer continuellement les modèles existants
4- La recherche et l'innovation
- Effectuer une veille sur les dernières avancées en data science et IA
- Tester et évaluer de nouvelles approches et algorithmes
- Contribuer à la culture de l'innovation data-driven au sein de l'entreprise
La collaboration et la communication
- Travailler étroitement avec l'AI Product Manager pour transformer les use cases en solutions techniques
- Collaborer avec le Data Engineer pour la préparation des données et le déploiement des modèles
- Vulgariser les concepts techniques pour les parties prenantes non-techniques
- Documenter rigoureusement les modèles et les méthodologies utilisées

Interactions Clés
Collaboration étroite avec les membres des équipes AI
Interface avec les équipes métier pour comprendre leurs besoin",API Pôle Emploi
Data Scientist H/F (H/F),HIMYDATA,06 - VALBONNE,2025-06-03T15:09:04.338Z,M1405,,,CDI,"Qui sommes-nous ?
HIMYDATA, c'est une startup deeptech en pleine expansion, spécialisée dans la technologie digitale et l'intelligence artificielle.
Notre plateforme révolutionne le partage, le stockage et l'exploitation des données en entreprise grâce à une architecture orientée microservices. Une innovation made in France, prête à relever des défis internationaux. Toute l'équipe travaille en étroite collaboration (dev, produit, succès client, ventes) pour implémenter les meilleures fonctionnalités sur notre plateforme et proposer des solutions autour de la data dans un environnement propulsé par l'IA.

Nos valeurs :
Respect - Chacun-e a sa place et sa voix

Passion - L'innovation est notre moteur

Bienveillance - Une vraie équipe, pas juste des collègues

Envie de construire l'avenir du digital avec nous ?

Nous recherchons un-e Data Scientist, capable de porter un projet IA de bout en bout : depuis l'exploration des données jusqu'à la mise en production de modèles.
Tu travailleras à la fois sur des cas d'usage concrets, de l'intégration de LLMs (type GPT) à des projets de RAG, en passant par du machine learning plus classique et de l'analyse avancée.

Tes missions

Explorer, nettoyer, analyser des jeux de données variés
Concevoir et entraîner des modèles de Machine Learning / Deep Learning
Intégrer et adapter des modèles de LLM (GPT-like, open source...)
Mettre en place des pipelines RAG (Retrieval-Augmented Generation)
Industrialiser les modèles (via API, conteneurisation, CI/CD, monitoring)
Participer aux réflexions stratégiques IA / R&D
Documenter tes travaux, partager tes idées, apprendre et faire apprendre

Stack & outils

Langages : Python (pandas, scikit-learn, PyTorch / TensorFlow, LangChain, etc.)
MLOps / Infra : Docker, Git, MLflow, FastAPI, cloud (AWS/GCP/Azure)
LLM & RAG : OpenAI, HuggingFace, Transformers, vectordb (FAISS, Weaviate, etc.)
Data : SQL / NoSQL, outils d'analyse et de visualisation (Jupyter, Streamlit, etc.)

Profil recherché

3 à 5 ans d'expérience solide en data science dont une significative sur des LLM
À l'aise avec l'ensemble du cycle IA : analyse, modélisation, déploiement
Curieux-se, autonome, proactif-ve, et toujours en veille sur les nouveaux modèles
Capacité à expliquer ce que tu fais, que ce soit à un-e dev, un-e PO ou un-e client-e
À l'aise pour passer d'un prototype à une vraie API prête à être utilisée",API Pôle Emploi
Data Scientist IA (H/F),SUPERVIZOR,75 - PARIS 09,2025-05-27T10:29:37.679Z,M1405,,,CDI,"Mission Principale

Au sein de l'équipe IA de Supervizor, vous occuperez le poste de Data Scientist spécialisé en intelligence artificielle. Votre mission consistera à concevoir, développer et maintenir des modèles prédictifs et analytiques innovants pour répondre aux défis spécifiques de notre entreprise dans le domaine de l'audit et de la finance. Vous serez au cœur de notre stratégie d'innovation technologique, contribuant directement à l'amélioration de nos solutions d'analyse et de supervision automatisée.

Responsabilités: 
Participer à des projets de recherche et développement pour améliorer les outils analytiques existants
Participer à l'architecture globale des use cases IA (gateway, script, etc.)
Développer et implémenter des algorithmes de machine learning pour des analyses prédictives
Collaborer avec les équipes techniques et non techniques pour comprendre les besoins et les enjeux business
Assurer la qualité des données et veiller à leur conformité avec les normes en vigueur

Compétences Requises : 
Techniques :
Maîtrise des langages de programmation : Python, SQL et Git
Expérience significative sur les concepts d'IA Générative : Modèles de langage (LLMs), prompt engineering, RAG, AI agent, évaluation des modèles génératifs
Experience sur les NLP (Transformers, embeddings...)
Expérience avec des bibliothèques Python : scikit-learn, TensorFlow, etc
Connaissance des plateformes d'IA générative : Anthropic, OpenAI
Capacité de veille technologique sur les nouveautés et tendances en IA et Datascience
Bonus appréciés :
JavaScript
Connaissance des environnements cloud : Azure, AWS, GCP

Non Techniques :
Excellente capacité à communiquer des concepts techniques à des non-experts
Fortes compétences analytiques et résolution de problèmes
Curiosité et désir d'apprendre et d'appliquer de nouvelles technologies
Capacité à travailler en équipe et à gérer plusieurs projets simultanément
Maîtrise du français et de l'anglais

Profil Recherché
Diplômé d'une école d'ingénieur dans des domaines relatifs à l'IA et aux sciences appliquées à l'informatique
Minimum de 2 ans d'expérience en tant que Data Scientist ou dans un rôle similaire
Expérience en gestion de projets data
Expérience en gestion de données financières

Avantages
Environnement de travail dynamique et innovant
Opportunités de formation continue et de développement professionnel
Participation à des projets de grande envergure avec un impact significatif",API Pôle Emploi
Apprenti-e - Data Scientist (H/F),SYNDICAT MIXTE DES EAUX ET DE L'ASSAINIS,67 - Schiltigheim,2025-05-26T14:01:25.683Z,M1405,,,CDD - 36 Mois,"Nous recherchons pour la rentrée de septembre un-e nouveau-elle apprenti-e.

Voici un avant goût des missions et projets qui vous seront confiés:

Missions quotidiennes :

- Collecter, nettoyer et préparer les données issues de différentes sources ;

- Développer et tester des modèles statistiques ou de machine learning pour répondre à des problématiques métiers ;

- Créer des visualisations de données claires et pertinentes pour faciliter la prise de décision ;

- Collaborer avec les équipes métiers et techniques pour comprendre les besoins et proposer des solutions adaptées ;

- Documenter les travaux réalisés et assurer une veille technologique sur les outils et méthodes de data science.

Projets confiés : 

 * Conception d'un dictionnaire de données d'entreprise pour des données de référence et des indicateurs de processus ;
   
 * Optimisation des rendements de réseau ;
   
 * Détection des fuites de réseau. 


Vous vous épanouirez dans ces missions si :


 * Vous préparez un diplôme de niveau ingénieur, Bac+5 ou équivalent ;
 * Vous disposez d'un fort intérêt pour les technologies et les outils informatiques des bases de données ;
 * Vous avez un esprit d'initiative, vous êtes force de proposition et avez des idées innovantes et créatives ;
 * Vous savez faire preuve d'une bonne organisation personnelle et de réactivité, vous savez prioriser selon les urgences ;
 * Vous vous adaptez à votre environnement et êtes à l'aise avec le travail d'équipe. 


L'apprentissage au SDEA :


 * Rémunération correspondante à un pourcentage du Smic qui varie en fonction de l'âge et de la progression dans le cycle de formation
 * Toute heure supplémentaire sera récupérée
 * Abonnement transport en commun pris en charge à hauteur de 75%
 * Carte restaurant
 * Télétravail possible",API Pôle Emploi
Data Scientist H/F - Optimisation IA pour le Transport Sanitaire (H/F),LOMACO,46 - FIGEAC,2025-05-15T11:40:05.136Z,M1405,,,CDI,"Lomaco conçoit une plateforme de régulation intelligente des transports sanitaires. Nous plaçons l'intelligence artificielle au cœur de notre solution pour automatiser la prise de décision, anticiper les besoins et améliorer la coordination logistique.

Lomaco fait partie du groupe Fideciel, acteur majeur du logiciel et des services numériques, qui, grâce au savoir-faire de 250 collaborateurs en France et dans le Monde, génère un chiffre d'affaires d'environ 48 millions d'euros par an. Notre groupe s'inscrit dans un système de valeurs privilégiant l'innovation de qualité et l'anticipation des futurs besoins tout en respectant son environnement éthique et sociétal.

Descriptif du poste

Nous renforçons notre pôle IA et recherchons un(e) Data Scientist curieux(se), rigoureux(se) et orienté(e) impact pour concevoir et faire évoluer nos algorithmes de régulation intelligente.

Vos missions :
- Modéliser les problématiques de logistique médicale et de régulation en modèles mathématiques/IA ;
- Développer et tester des algorithmes de prédiction, de planification et d'optimisation ;
- Travailler sur des jeux de données réels (temps réel, historiques, contraintes métier) ;
- Participer au déploiement et à l'amélioration continue des solutions ;
- Collaborer étroitement avec les équipes Produit, Dev et métier.

Profil recherché
- Expérience en Data Science / Machine Learning / Optimisation ;
- Maîtrise de Python, des bibliothèques classiques (pandas, scikit-learn, PyTorch ou TensorFlow.) ;
- Bonnes connaissances en modélisation mathématique, optimisation combinatoire ou recherche opérationnelle ;
- Sensibilité produit, autonomie et envie de résoudre des problématiques terrain concrètes.

Modalités du poste
- Poste à pourvoir en CDI, sur Figeac (46), au plus tôt
- Rémunération selon expérience et/ou profil
- Durée hebdomadaire de travail : 35 heures
- Package salarial et social : prévoyance, mutuelle, participation, titres restaurant,.

Vous êtes motivé(e) pour relever de nouveaux défis au sein d'un groupe dynamique en constante évolution ? Vous souhaitez intégrer une entreprise à taille humaine, à l'écoute de ses collaborateurs, où chacun, chacune partage des idées et du savoir-faire ? Alors, n'hésitez plus . Postulez !",API Pôle Emploi
Lead data (H/F),AMILTONE,69 - VILLEURBANNE,2025-06-02T15:49:26.722Z,M1405,,,CDI,"Qui sommes-nous ?

Nous sommes passionnés par les nouvelles technologies, et vous ? 

Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.


Pourquoi choisir Amiltone ? 

 Amiltone, plus qu'une entreprise, un état d'esprit !

Notre objectif ? Votre épanouissement professionnel !

Nous avons à cœur de :

Vous accompagner au mieux au travers d'un suivi personnalisé

Vous faire monter en compétences en vous proposant des formations tout au long de votre carrière

Comprendre vos besoins et respecter nos engagements

Vous proposer des missions de qualité avec des technologies innovantes

Cultiver votre potentiel grâce à notre programme de développement personnel Addvise


Votre bien-être passe aussi par des activités extraprofessionnelles, c'est pourquoi nous vous proposons des séances sportives animées par nos coachs, soirées pour se retrouver et animations (à l'agence ou en visio), Gaming nights...



Vos missions ?

En tant que Lead Data vous serez en charge des missions suivantes:

-  Accompagner et faire monter en compétence les membres de l'équipe Data
-  Compréhension du besoin client et être capable de le traduire aux équipes métier 
-  Suivi de l'évolution des outils data 
- Développer des algorythmes et des modèles Machine Learning
-  Mettre en production des solutions data en collaboration avec les équipes IT et DevOps
- Trouver des solutions innovantes
- Bonne connaissance en intelligence artificielle, en mathématiques et en statistiques
- Bilingue anglais


La stack Technique :
- mySQL, queries
- Python (lib : Pandas, Scikit Learn, Tensorflow...)
- Dplyr
- Docker


Alors ? Prêt à devenir Amiltonien ?

N'hésitez pas à postuler si vous vous reconnaissez :

- Diplômé d'un Bac+5 (école d'ingénieur ou master spécialisé en mathématiques), vous disposez de minimum 4 ans d'expérience sur un poste de Data scientist avec une première expérience en tant que Lead Data Scientist.
- Vous aimez découvrir de nouveaux contextes fonctionnels et comprendre les objectifs des applications que vous développez.
- Vous avez un niveau d'anglais courant.
- A l'aise dans une organisation agile, vous faites preuve de rigueur et appliquez les standards de qualité Amiltone durant toute la durée des développements.

Outre vos compétences techniques, nous nous intéressons également à votre potentiel et votre motivation.

Nos postes sont ouverts aux personnes en situation de handicap.",API Pôle Emploi
Ingénieur Data / ETL (H/F),ROSARA,21 - DIJON,2025-06-10T10:45:13.501Z,M1405,,,CDI,"Qui sommes-nous ?
ROSARA est un cabinet de conseil en ressources humaines qui accompagne les entreprises dans leurs recrutements stratégiques. Nous sommes mandatés par notre client, une entreprise innovante dans le secteur de l'IT spécialisé dans l'environnement, pour dénicher leur futur talent. 

Notre client est leader sur son marché, avec une équipe de 40 personnes et une dynamique de croissance. Il se distingue par une excellente ambiance de travail, un cadre de travail agréable et des valeurs humaines fortes. Leurs projets ont une réelle utilité publique en contribuant à la gestion et à l'optimisation des ressources environnementales. 

Le poste :
Afin de les accompagner dans le développement de leur pôle dédié au traitement des données, nous recherchons un Ingénieur Data (H/F), pour compléter une équipe composée d'une dizaine de personnes. Vous évoluerez sur un poste équilibré entre technique et relation client. Vous serez le garant du traitement d'intégration et d'exportation des données dans le logiciel métier via SSIS.


Vos missions :
- Développer et maintenir des flux ETL pour gérer les données d'import et d'export
- Être en contact régulier avec les clients (téléphone, visio) afin d'accompagner les clients dans la mise en forme de leurs données
- Produire et automatiser des reportings pour optimiser l'analyse des données   
- Collaborer avec les équipes internes pour garantir la fluidité des processus d'intégration de nouveau client
- Maintenir la documentation technique des scripts SSIS


Le profil recherché :
Nous recherchons un profil à l'aise aussi bien sur la technique que dans la relation client. Que vous soyez junior ou expérimenté, votre capacité à comprendre les enjeux métier et à interagir avec les clients sera essentielle.

Vous avez déjà travaillé avec un ETL (SSIS, Talend, Informatica. peu importe lequel !) et maîtrisez SQL. Vous avez une première expérience en reporting et êtes capable de structurer des analyses de données pertinentes. Votre sens du service et votre esprit d'équipe vous permettent d'échanger efficacement avec les clients et les équipes internes.

Pourquoi les rejoindre ?
Rejoindre cette entreprise, c'est intégrer une équipe dynamique et bienveillante, où la bonne ambiance n'est pas un vain mot. Ici, pas d'open-space bruyant : chaque collaborateur dispose d'un bureau spacieux, partagé avec seulement deux ou trois collègues, au sein d'un cadre de travail de 300m2 pensé pour le bien-être de tous. 
Vous bénéficierez d'un rythme de travail équilibré avec une organisation en 39h par semaine, accompagnée de RTT.

Côté rémunération, l'entreprise propose un Plan d'Épargne Entreprise attractif et une Prime d'intéressement égalitaire pour tous ses collaborateurs. Les avantages sociaux sont pensés pour votre bien-être : une excellente mutuelle prenant en charge votre famille à 100%, une prime vacances, ainsi que des tickets restaurant.

Son faible turn-over est le reflet d'une culture d'entreprise solide, où chacun trouve sa place et s'investit sur le long terme. D'ailleurs, 90% des salariés sont déjà actionnaires, et vous aurez peut-être l'opportunité de rejoindre cette aventure !

Enfin, son emplacement en centre-ville de Dijon (21), proche des transports en commun, vous garantit un accès facile et rapide, et surtout vous serez proche de tout ! 


Vous souhaitez rejoindre une entreprise innovante et engagée sur des projets concrets ? Postulez dès maintenant en nous transmettant votre CV en ligne ",API Pôle Emploi
